name,phone,certificate,birth,address,received_at,status,route,note
민동석,010-7868-9565,굴착기운전기능사,1962-10-03,세종 세종시험장,2026-08-11 12:16:00,접수완료,가족보조,기능사
하복남,010-3170-6718,지게차운전기능사,1947-08-11,대구 대구시험장,2026-08-15 22:34:00,접수완료,복지관,기능사
차정순,010-5462-5616,지게차운전기능사,1933-01-22,강원 춘천시험장,2026-08-09 17:31:00,접수완료,가족보조,기능사
차필호,010-8007-1158,한식조리기능사,1939-05-02,서울 서울2시험장,2026-08-12 18:35:00,접수완료,본인단독,기능사
차말순,010-3532-4878,한식조리기능사,1947-06-26,부산 부산남부시험장,2026-08-11 21:59:00,접수완료,가족보조,기능사
권상원,010-1387-4164,한식조리기능사,1960-07-28,부산 부산남부시험장,2026-08-09 14:41:00,접수완료,복지관,기능사
문갑순,010-6139-8149,지게차운전기능사,1932-06-01,인천 인천시험장,2026-08-19 12:16:00,접수완료,본인단독,기능사
윤갑순,010-5920-9308,한식조리기능사,1932-11-24,울산 울산시험장,2026-08-10 17:08:00,접수완료,본인단독,기능사
우말자,010-6279-8618,지게차운전기능사,1942-11-24,대전 대전시험장,2026-08-06 19:05:00,접수완료,가족보조,기능사
정봉숙,010-7790-4185,한식조리기능사,1951-11-10,세종 세종시험장,2026-08-05 19:44:00,결제대기,본인단독,기능사
남일남,010-9702-6198,굴착기운전기능사,1952-03-26,제주 제주시험장,2026-08-17 15:53:00,접수완료,복지관,기능사
유옥분,010-5681-4841,굴착기운전기능사,1936-08-09,세종 세종시험장,2026-08-05 12:24:00,접수완료,복지관,기능사
우필호,010-1320-7232,지게차운전기능사,1962-07-14,충북 청주시험장,2026-08-14 17:47:00,접수완료,복지관,기능사
남철수,010-9751-1441,전기기능사,1949-07-16,서울 서울2시험장,2026-08-15 11:03:00,접수완료,가족보조,기능사
이갑순,010-9837-1853,한식조리기능사,1937-06-11,전북 전주시험장,2026-08-02 21:01:00,접수완료,본인단독,기능사
양용기,010-2876-3683,굴착기운전기능사,1957-04-05,경남 창원시험장,2026-08-10 18:43:00,접수완료,가족보조,기능사
윤계순,010-1672-6688,굴착기운전기능사,1954-02-19,세종 세종시험장,2026-08-11 09:54:00,접수완료,가족보조,기능사
민계순,010-9817-8921,한식조리기능사,1943-11-27,경북 포항시험장,2026-08-08 22:59:00,결제대기,본인단독,기능사
안영자,010-5581-5526,굴착기운전기능사,1951-08-19,전북 전주시험장,2026-08-14 16:35:00,접수완료,본인단독,기능사
우순옥,010-8753-9698,지게차운전기능사,1935-08-26,서울 서울1시험장,2026-08-15 13:19:00,접수완료,가족보조,기능사
곽종수,010-5636-2647,한식조리기능사,1954-06-04,대전 대전시험장,2026-08-10 09:45:00,접수완료,복지관,기능사
유영수,010-4020-1841,한식조리기능사,1963-09-10,광주 광주시험장,2026-08-13 16:04:00,접수완료,복지관,기능사
권갑수,010-9561-7232,한식조리기능사,1930-05-03,세종 세종시험장,2026-08-14 13:36:00,접수완료,복지관,기능사
한영호,010-7693-8381,지게차운전기능사,1960-04-21,울산 울산시험장,2026-08-10 20:18:00,접수완료,복지관,기능사
임옥분,010-1977-3718,한식조리기능사,1952-05-26,울산 울산시험장,2026-08-15 10:29:00,접수완료,복지관,기능사
안영숙,010-2496-4750,지게차운전기능사,1949-09-18,경남 창원시험장,2026-08-09 18:02:00,접수완료,본인단독,기능사
조미자,010-6403-7744,지게차운전기능사,1938-05-06,전남 순천시험장,2026-08-18 09:29:00,접수완료,본인단독,기능사
곽순옥,010-9167-8242,한식조리기능사,1959-07-28,제주 제주시험장,2026-08-10 16:56:00,접수완료,복지관,기능사
윤봉숙,010-2924-3522,한식조리기능사,1928-04-23,대전 대전시험장,2026-08-09 15:53:00,접수완료,가족보조,기능사
고계순,010-9318-5377,한식조리기능사,1931-03-13,울산 울산시험장,2026-08-19 19:31:00,접수완료,본인단독,기능사
권운순,010-7730-1715,지게차운전기능사,1944-06-18,전북 전주시험장,2026-08-05 16:02:00,접수완료,본인단독,기능사
정금순,010-5342-6546,굴착기운전기능사,1938-02-17,경북 포항시험장,2026-08-18 15:20:00,접수완료,복지관,기능사
조봉숙,010-3725-5906,굴착기운전기능사,1964-10-03,세종 세종시험장,2026-08-10 14:23:00,접수완료,가족보조,기능사
황동호,010-3344-4804,한식조리기능사,1940-10-22,대전 대전시험장,2026-08-01 21:29:00,접수완료,가족보조,기능사
심만수,010-4886-7248,한식조리기능사,1944-10-10,전남 순천시험장,2026-08-10 09:53:00,결제대기,복지관,기능사
류운순,010-4770-6772,공인중개사,1966/07/09,부산 부산남부시험장,2026-08-15 11:40:00,CONFIRMED,본인단독,1차
우순옥,010-3153-2476,손해평가사,1965/02/21,강원 춘천시험장,2026-08-08 11:50:00,CONFIRMED,본인단독,1차
심근호,010-5835-6549,공인중개사,1962/09/12,대전 대전시험장,2026-08-18 15:54:00,CONFIRMED,가족보조,2차
성만수,010-8451-7038,손해평가사,1961/09/12,전북 전주시험장,2026-08-11 14:06:00,CONFIRMED,가족보조,1차
전삼석,010-7689-2911,손해평가사,1965/10/18,세종 세종시험장,2026-08-04 12:56:00,CONFIRMED,본인단독,1차
조금순,010-7686-5583,손해평가사,1943/11/24,전남 순천시험장,2026-08-04 19:23:00,CANCELLED,가족보조,2차
구영호,010-1828-6464,손해평가사,1949/04/04,경북 포항시험장,2026-08-07 18:13:00,CONFIRMED,본인단독,2차
오춘희,010-1422-3159,공인중개사,1928/01/09,광주 광주시험장,2026-08-09 09:08:00,CONFIRMED,가족보조,2차
민성호,010-9543-5941,공인중개사,1936/08/25,인천 인천시험장,2026-08-14 19:06:00,CONFIRMED,가족보조,1차
차필순,010-6327-7240,공인중개사,1961/06/20,광주 광주시험장,2026-08-14 10:50:00,CONFIRMED,본인단독,1차
홍만복,010-6120-5176,손해평가사,1938/04/14,경북 포항시험장,2026-08-03 22:05:00,CONFIRMED,본인단독,1차
허갑순,010-1842-5712,공인중개사,1943/03/18,충북 청주시험장,2026-08-05 19:30:00,CONFIRMED,본인단독,1차
민종수,010-1430-5381,손해평가사,1931/06/04,세종 세종시험장,2026-08-05 18:42:00,CONFIRMED,가족보조,2차
양광수,010-6314-2391,공인중개사,1965/02/24,전북 전주시험장,2026-08-03 13:28:00,CONFIRMED,가족보조,1차
우금순,010-9633-6053,손해평가사,1940/05/07,인천 인천시험장,2026-08-07 21:08:00,CONFIRMED,가족보조,2차
권인순,010-6802-2180,손해평가사,1959/01/16,대전 대전시험장,2026-08-11 18:27:00,CONFIRMED,가족보조,2차
양옥분,010-8155-2734,손해평가사,1959/07/01,대전 대전시험장,2026-08-11 12:21:00,CONFIRMED,본인단독,2차
임상원,010-2684-3399,공인중개사,1933/09/07,충남 천안시험장,2026-08-16 16:48:00,CONFIRMED,가족보조,2차
하옥분,010-6085-8565,손해평가사,1957/08/03,강원 춘천시험장,2026-08-03 18:38:00,CONFIRMED,가족보조,1차
조계순,010-6626-2381,공인중개사,1938/10/21,경남 창원시험장,2026-08-15 17:33:00,PENDING,본인단독,1차
고정자,01018576482,요양보호사,12-06-1948,대전센터,2026-08-19 11:21:00,active,가족보조,무학
배철수,01023886072,요양보호사,19-02-1941,대구센터,2026-08-18 14:01:00,active,복지관,무학
노선옥,01047113253,요양보호사,10-06-1961,대구센터,2026-08-12 15:09:00,active,본인단독,초등학교졸업
백순옥,01048918277,위생사,06-03-1959,대구센터,2026-08-15 16:29:00,active,가족보조,중학교졸업
백미자,01042713267,요양보호사,25-05-1960,청주센터,2026-08-14 16:57:00,active,가족보조,고등학교졸업
권봉숙,01067271436,위생사,05-09-1964,청주센터,2026-08-15 10:53:00,active,본인단독,대학교졸
유말자,01010862298,위생사,10-01-1958,전주센터,2026-08-08 15:40:00,active,복지관,무학
임명자,01080321025,요양보호사,18-10-1935,서울센터,2026-08-18 17:50:00,active,복지관,고등학교졸업
문근호,01021066649,요양보호사,21-01-1936,청주센터,2026-08-15 20:30:00,active,복지관,중학교졸업
서성호,01061706080,위생사,25-12-1962,전주센터,2026-08-11 13:07:00,active,가족보조,고등학교졸업
곽복순,01023537955,위생사,11-07-1938,대구센터,2026-08-14 11:44:00,active,가족보조,초등학교졸업
배순옥,01094063621,요양보호사,14-10-1944,대전센터,2026-08-02 18:09:00,active,복지관,대학원졸
배영자,01055665089,위생사,25-08-1943,부산센터,2026-08-15 12:39:00,active,가족보조,대학원졸
홍정자,01066922063,요양보호사,15-02-1958,대구센터,2026-08-08 10:12:00,pending,본인단독,고등학교졸업
장종수,01024122077,위생사,18-06-1965,수원센터,2026-08-15 19:33:00,active,가족보조,고등학교졸업
최만수,01094883507,위생사,19-11-1931,대구센터,2026-08-18 13:08:00,active,복지관,고등학교졸업
구영자,01016741464,요양보호사,21-09-1961,대구센터,2026-08-10 19:19:00,active,가족보조,초등학교졸업
심상길,01043426573,위생사,15-05-1941,부산센터,2026-08-04 13:28:00,active,본인단독,고등학교졸업
한영수,01061234110,요양보호사,28-07-1948,청주센터,2026-08-15 12:13:00,pending,복지관,전문대졸
조말순,01031945333,요양보호사,20-08-1948,전주센터,2026-08-13 17:28:00,active,복지관,전문대졸
차순옥,01033634261,위생사,04-03-1959,청주센터,2026-08-17 11:20:00,active,복지관,고등학교졸업
주명자,01087801272,요양보호사,11-10-1947,제주센터,2026-08-19 18:14:00,active,복지관,고등학교졸업
박원호,01028004125,요양보호사,21-09-1956,청주센터,2026-08-02 20:08:00,active,복지관,무학
고재호,01068045331,요양보호사,13-09-1936,수원센터,2026-08-11 16:22:00,active,복지관,고등학교졸업
임명자,01016895712,요양보호사,18-11-1930,청주센터,2026-08-09 11:06:00,active,복지관,대학원졸
심만수,01032521084,요양보호사,21-04-1933,광주센터,2026-08-03 19:36:00,active,본인단독,대학원졸
노용기,01057421613,위생사,27-07-1955,대구센터,2026-08-17 16:17:00,pending,본인단독,무학
류원호,01041643875,요양보호사,09-11-1937,대구센터,2026-08-11 12:00:00,active,가족보조,고등학교졸업
황순자,01029368625,요양보호사,10-06-1949,서울센터,2026-08-05 16:09:00,active,가족보조,고등학교졸업
구계순,01023419609,요양보호사,25-08-1931,제주센터,2026-08-06 14:54:00,active,복지관,고등학교졸업
안갑순,010-7276-9696,한식조리기능사,1954-07-13,울산 울산시험장,2026-08-19 16:12:00,접수완료,가족보조,기능사
오원호,010-6551-2359,지게차운전기능사,1956-07-24,울산 울산시험장,2026-08-11 16:20:00,접수완료,가족보조,기능사
성동석,010-8570-9497,굴착기운전기능사,1958-07-02,경기 고양시험장,2026-08-10 14:08:00,접수완료,가족보조,기능사
오순자,010-2798-1381,한식조리기능사,1963-04-23,대전 대전시험장,2026-08-16 10:59:00,접수완료,본인단독,기능사
장병수,010-7640-4289,전기기능사,1962-07-21,대구 대구시험장,2026-08-18 15:52:00,접수완료,본인단독,기능사
백만수,010-2580-2945,한식조리기능사,1955-03-12,경남 창원시험장,2026-08-12 15:09:00,접수완료,가족보조,기능사
양미자,010-2186-9212,한식조리기능사,1964-04-18,충북 청주시험장,2026-08-10 14:13:00,접수완료,본인단독,기능사
오성호,010-7111-7530,전기기능사,1957-07-13,충북 청주시험장,2026-08-13 13:06:00,접수완료,복지관,기능사
유갑수,010-2312-8173,지게차운전기능사,1953-12-24,충북 청주시험장,2026-08-14 14:50:00,접수완료,대리접수,기능사
민미자,010-5625-7208,굴착기운전기능사,1963-08-18,광주 광주시험장,2026-08-19 16:12:00,접수완료,본인단독,기능사
안정자,010-7827-4788,한식조리기능사,1954-06-01,충남 천안시험장,2026-08-17 17:12:00,접수완료,본인단독,기능사
민운순,010-5710-4281,굴착기운전기능사,1956-09-26,경북 포항시험장,2026-08-02 09:26:00,접수완료,가족보조,기능사
남영자,010-3104-3140,굴착기운전기능사,1929-10-10,울산 울산시험장,2026-08-06 14:16:00,접수완료,본인단독,기능사
곽영숙,010-2881-6402,전기기능사,1942-03-27,경남 창원시험장,2026-08-18 13:40:00,접수완료,본인단독,기능사
류미자,010-8193-1942,전기기능사,1956-03-19,부산 부산남부시험장,2026-08-06 13:17:00,접수완료,복지관,기능사
임점순,010-2417-1542,한식조리기능사,1954-09-06,충남 천안시험장,2026-08-08 18:38:00,접수완료,복지관,기능사
곽두만,010-1205-4786,한식조리기능사,1963-06-26,전남 순천시험장,2026-08-08 18:28:00,접수완료,복지관,기능사
전용기,010-3174-1184,굴착기운전기능사,1956-03-25,경북 포항시험장,2026-08-16 15:51:00,접수완료,본인단독,기능사
권재호,010-3469-1303,전기기능사,1928-11-11,충북 청주시험장,2026-08-08 11:33:00,접수완료,가족보조,기능사
오삼석,010-5922-2003,한식조리기능사,1950-03-27,인천 인천시험장,2026-08-14 11:00:00,접수완료,복지관,기능사
한상원,010-8940-4414,지게차운전기능사,1938-02-06,세종 세종시험장,2026-08-06 11:30:00,접수완료,복지관,기능사
배병수,010-2187-4958,한식조리기능사,1950-03-21,제주 제주시험장,2026-08-04 21:40:00,접수완료,본인단독,기능사
류태호,010-6972-2869,전기기능사,1946-04-02,강원 춘천시험장,2026-08-07 16:03:00,접수완료,본인단독,기능사
정영숙,010-1475-3882,한식조리기능사,1928-02-27,전북 전주시험장,2026-08-03 19:00:00,접수완료,가족보조,기능사
안영수,010-6650-2911,지게차운전기능사,1961-12-28,충남 천안시험장,2026-08-08 13:20:00,접수완료,복지관,기능사
안동석,010-7282-2998,한식조리기능사,1947-10-20,세종 세종시험장,2026-08-15 15:50:00,접수완료,가족보조,기능사
구동석,010-1325-1779,지게차운전기능사,1932-02-10,전북 전주시험장,2026-08-07 15:56:00,접수완료,복지관,기능사
류용기,010-7805-2715,한식조리기능사,1946-04-07,인천 인천시험장,2026-08-04 10:17:00,접수완료,복지관,기능사
류말자,010-8935-4563,한식조리기능사,1956-05-24,인천 인천시험장,2026-08-09 17:16:00,접수완료,복지관,기능사
정상원,010-8127-3368,전기기능사,1957-04-11,제주 제주시험장,2026-08-03 09:27:00,접수완료,본인단독,기능사
전미자,010-4112-2458,전기기능사,1961-01-07,대구 대구시험장,2026-08-11 17:02:00,접수완료,가족보조,기능사
권선옥,010-9570-7957,전기기능사,1944-04-12,광주 광주시험장,2026-08-17 22:51:00,취소,복지관,기능사
차명자,010-6946-3834,한식조리기능사,1928-10-12,광주 광주시험장,2026-08-10 09:42:00,접수완료,가족보조,기능사
손복순,010-2721-4338,한식조리기능사,1956-01-06,대구 대구시험장,2026-08-04 09:23:00,접수완료,가족보조,기능사
장명자,010-1443-9980,지게차운전기능사,1929-02-20,강원 춘천시험장,2026-08-17 17:08:00,접수완료,가족보조,기능사
전경자,010-9314-1620,전기기능사,1942-02-27,충남 천안시험장,2026-08-12 21:47:00,접수완료,복지관,기능사
김태호,010-1731-4607,한식조리기능사,1953-12-24,서울 서울2시험장,2026-08-05 22:58:00,접수완료,복지관,기능사
양운순,010-9163-3231,한식조리기능사,1928-01-25,부산 부산남부시험장,2026-08-02 21:21:00,접수완료,복지관,기능사
백갑순,010-5264-5969,지게차운전기능사,1954-11-14,경기 수원시험장,2026-08-01 20:16:00,접수완료,본인단독,기능사
안정호,010-3718-1099,굴착기운전기능사,1965-03-17,세종 세종시험장,2026-08-16 19:20:00,접수완료,복지관,기능사
신병수,010-2928-7500,한식조리기능사,1957-12-20,부산 부산남부시험장,2026-08-07 20:04:00,접수완료,본인단독,기능사
최동석,010-8712-7221,굴착기운전기능사,1951-07-06,세종 세종시험장,2026-08-01 11:41:00,접수완료,복지관,기능사
유봉숙,010-4002-8448,지게차운전기능사,1939-06-09,대전 대전시험장,2026-08-18 16:39:00,접수완료,가족보조,기능사
서철수,010-2994-9975,전기기능사,1937-04-04,충남 천안시험장,2026-08-07 11:14:00,접수완료,가족보조,기능사
김용기,010-8557-5331,한식조리기능사,1963-01-25,울산 울산시험장,2026-08-11 12:18:00,접수완료,본인단독,기능사
고미자,010-8714-6476,한식조리기능사,1929-01-27,울산 울산시험장,2026-08-01 16:01:00,접수완료,가족보조,기능사
송영수,010-5346-7391,한식조리기능사,1965-07-23,충남 천안시험장,2026-08-18 10:05:00,접수완료,복지관,기능사
장점순,010-5115-7497,한식조리기능사,1961-11-07,인천 인천시험장,2026-08-11 12:24:00,취소,가족보조,기능사
임순자,010-3242-5712,지게차운전기능사,1955-03-23,서울 서울남부시험장,2026-08-08 09:15:00,결제대기,가족보조,기능사
양정순,010-4812-4517,굴착기운전기능사,1928-02-26,대전 대전시험장,2026-08-07 16:14:00,접수완료,가족보조,기능사
송만복,010-1241-2158,지게차운전기능사,1945-08-26,울산 울산시험장,2026-08-03 10:05:00,접수완료,본인단독,기능사
남영자,010-2248-6807,굴착기운전기능사,1943-06-06,경북 포항시험장,2026-08-07 19:12:00,접수완료,본인단독,기능사
한금순,010-2952-3993,지게차운전기능사,1951-10-15,인천 인천시험장,2026-08-19 22:16:00,접수완료,본인단독,기능사
유철수,010-8613-9802,한식조리기능사,1933-09-01,경북 포항시험장,2026-08-04 11:04:00,결제대기,복지관,기능사
오일남,010-6918-1856,한식조리기능사,1951-09-05,제주 제주시험장,2026-08-12 11:09:00,접수완료,복지관,기능사
우춘희,010-8904-3050,한식조리기능사,1937-03-11,충남 천안시험장,2026-08-06 12:59:00,접수완료,복지관,기능사
송점순,010-2476-3277,굴착기운전기능사,1933-08-09,서울 서울2시험장,2026-08-18 14:12:00,접수완료,본인단독,기능사
노영호,010-2373-8454,굴착기운전기능사,1960-08-04,전남 순천시험장,2026-08-12 14:06:00,접수완료,복지관,기능사
박광수,010-4578-7271,지게차운전기능사,1959-03-24,세종 세종시험장,2026-08-02 11:13:00,접수완료,복지관,기능사
정영수,010-8998-3363,한식조리기능사,1955-09-14,광주 광주시험장,2026-08-08 17:18:00,접수완료,가족보조,기능사
심복남,010-7123-7218,굴착기운전기능사,1945-10-14,충북 청주시험장,2026-08-16 17:43:00,접수완료,복지관,기능사
권동석,010-5065-9729,전기기능사,1939-09-02,울산 울산시험장,2026-08-12 20:04:00,접수완료,복지관,기능사
양춘희,010-5039-8742,한식조리기능사,1954-07-18,전북 전주시험장,2026-08-06 09:04:00,접수완료,복지관,기능사
류삼석,010-7170-6382,지게차운전기능사,1946-09-27,강원 춘천시험장,2026-08-19 18:37:00,접수완료,복지관,기능사
심인순,010-2801-8402,한식조리기능사,1928-02-16,제주 제주시험장,2026-08-02 21:33:00,접수완료,본인단독,기능사
손봉숙,010-6087-2577,한식조리기능사,1952-05-24,광주 광주시험장,2026-08-08 19:51:00,접수완료,본인단독,기능사
권운순,010-2101-6652,한식조리기능사,1958-07-17,서울 서울2시험장,2026-08-04 21:02:00,취소,복지관,기능사
성옥분,010-8160-9544,전기기능사,1946-12-10,경기 수원시험장,2026-08-05 22:23:00,접수완료,복지관,기능사
문삼석,010-9884-5413,한식조리기능사,1934-05-27,전남 순천시험장,2026-08-06 18:02:00,접수완료,본인단독,기능사
유만수,010-1014-1779,한식조리기능사,1938-09-07,전북 전주시험장,2026-08-03 11:37:00,접수완료,본인단독,기능사
박두만,010-1052-6314,한식조리기능사,1930-06-19,울산 울산시험장,2026-08-12 12:34:00,접수완료,본인단독,기능사
구정자,010-1787-7524,한식조리기능사,1929-05-22,세종 세종시험장,2026-08-08 14:28:00,접수완료,복지관,기능사
구말자,010-9520-4604,한식조리기능사,1941-04-15,강원 춘천시험장,2026-08-07 18:46:00,접수완료,복지관,기능사
조명자,010-1820-5845,굴착기운전기능사,1950-08-17,강원 춘천시험장,2026-08-15 22:53:00,접수완료,본인단독,기능사
구선옥,010-1564-2754,한식조리기능사,1960-08-20,경북 포항시험장,2026-08-10 12:43:00,접수완료,가족보조,기능사
김정순,010-9726-9319,지게차운전기능사,1941-02-04,인천 인천시험장,2026-08-01 14:21:00,접수완료,가족보조,기능사
송재호,010-2416-7608,한식조리기능사,1933-06-21,강원 춘천시험장,2026-08-18 10:53:00,접수완료,가족보조,기능사
허태호,010-8909-5270,한식조리기능사,1939-08-12,대구 대구시험장,2026-08-05 16:54:00,접수완료,가족보조,기능사
우영호,010-1855-7968,굴착기운전기능사,1938-09-13,인천 인천시험장,2026-08-13 10:34:00,접수완료,복지관,기능사
정성호,010-7461-3864,전기기능사,1959-07-15,울산 울산시험장,2026-08-08 19:22:00,취소,복지관,기능사
김봉숙,010-8778-9953,굴착기운전기능사,1959-09-09,서울 서울1시험장,2026-08-09 21:10:00,접수완료,복지관,기능사
최성호,010-2882-9682,굴착기운전기능사,1937-07-07,충남 천안시험장,2026-08-02 11:23:00,접수완료,가족보조,기능사
송금순,010-9279-1229,한식조리기능사,1943-02-04,광주 광주시험장,2026-08-11 09:25:00,접수완료,복지관,기능사
조상원,010-6736-7582,지게차운전기능사,1941-07-07,인천 인천시험장,2026-08-08 18:25:00,접수완료,복지관,기능사
하영자,010-1128-6194,굴착기운전기능사,1940-01-17,제주 제주시험장,2026-08-07 16:13:00,접수완료,본인단독,기능사
임철수,010-1370-5657,전기기능사,1954-08-12,세종 세종시험장,2026-08-09 19:48:00,접수완료,본인단독,기능사
유동석,010-7151-4373,전기기능사,1961-08-28,울산 울산시험장,2026-08-06 14:20:00,접수완료,본인단독,기능사
정정순,010-2206-2078,전기기능사,1952-12-22,전남 순천시험장,2026-08-12 22:59:00,접수완료,본인단독,기능사
심귀순,010-4126-5944,한식조리기능사,1933-04-08,서울 서울1시험장,2026-08-02 21:06:00,접수완료,본인단독,기능사
전순옥,010-1693-8034,굴착기운전기능사,1930-12-19,충북 청주시험장,2026-08-06 21:19:00,접수완료,가족보조,기능사
문순옥,010-8690-4048,전기기능사,1954-07-21,경남 창원시험장,2026-08-08 15:07:00,접수완료,가족보조,기능사
유원호,010-5907-4482,전기기능사,1962-01-27,경기 수원시험장,2026-08-16 11:07:00,접수완료,본인단독,기능사
홍재호,010-3761-4561,전기기능사,1933-03-19,경기 고양시험장,2026-08-15 22:36:00,접수완료,복지관,기능사
백영호,010-9773-2894,한식조리기능사,1934-01-26,제주 제주시험장,2026-08-10 10:52:00,접수완료,본인단독,기능사
오필순,010-8914-8722,한식조리기능사,1935-04-27,세종 세종시험장,2026-08-12 17:13:00,접수완료,본인단독,기능사
성순옥,010-5913-1092,전기기능사,1954-02-01,제주 제주시험장,2026-08-12 12:35:00,접수완료,복지관,기능사
고일남,010-5182-4499,지게차운전기능사,1941-08-10,제주 제주시험장,2026-08-14 09:31:00,결제대기,가족보조,기능사
안순옥,010-7634-8156,굴착기운전기능사,1938-01-25,광주 광주시험장,2026-08-07 11:52:00,접수완료,복지관,기능사
최말순,010-7654-8168,지게차운전기능사,1933-12-05,경북 포항시험장,2026-08-19 11:17:00,접수완료,본인단독,기능사
문영수,010-8258-9524,한식조리기능사,1950-06-08,서울 서울남부시험장,2026-08-13 14:18:00,접수완료,본인단독,기능사
오만수,010-9167-3995,전기기능사,1952-01-09,충북 청주시험장,2026-08-06 19:59:00,접수완료,본인단독,기능사
우말순,010-8124-6969,한식조리기능사,1937-09-25,경기 고양시험장,2026-08-17 18:51:00,취소,본인단독,기능사
박복남,010-5075-2852,지게차운전기능사,1952-06-10,경남 창원시험장,2026-08-04 12:29:00,접수완료,가족보조,기능사
장복순,010-5960-6354,굴착기운전기능사,1964-09-07,경남 창원시험장,2026-08-05 19:31:00,접수완료,복지관,기능사
류두만,010-9584-9948,지게차운전기능사,1949-10-14,대구 대구시험장,2026-08-14 09:31:00,접수완료,복지관,기능사
구상길,010-2114-2035,굴착기운전기능사,1965-09-08,부산 부산시험장,2026-08-18 13:17:00,접수완료,가족보조,기능사
최점순,010-5658-7661,굴착기운전기능사,1945-07-18,경기 고양시험장,2026-08-18 18:08:00,취소,본인단독,기능사
장갑수,010-1162-3377,지게차운전기능사,1962-04-23,전남 순천시험장,2026-08-19 15:40:00,접수완료,가족보조,기능사
임정자,010-3972-1330,전기기능사,1933-11-20,울산 울산시험장,2026-08-04 19:14:00,접수완료,복지관,기능사
양필호,010-5871-3836,지게차운전기능사,1933-07-20,충남 천안시험장,2026-08-05 20:27:00,접수완료,복지관,기능사
최상원,010-2873-8530,지게차운전기능사,1953-07-26,인천 인천시험장,2026-08-04 22:11:00,접수완료,복지관,기능사
오복남,010-4780-1338,전기기능사,1966-02-03,충남 천안시험장,2026-08-15 16:57:00,접수완료,가족보조,기능사
박갑수,010-5878-3858,한식조리기능사,1954-11-15,대전 대전시험장,2026-08-03 13:33:00,접수완료,가족보조,기능사
김영호,010-2227-3617,지게차운전기능사,1931-04-10,인천 인천시험장,2026-08-03 13:39:00,접수완료,가족보조,기능사
우복남,010-3981-1847,한식조리기능사,1933-10-25,경북 포항시험장,2026-08-11 20:10:00,접수완료,가족보조,기능사
남갑수,010-3102-4684,전기기능사,1935-10-07,대구 대구시험장,2026-08-08 15:30:00,접수완료,복지관,기능사
손병수,010-7762-1226,한식조리기능사,1963-10-07,경기 고양시험장,2026-08-11 10:33:00,접수완료,본인단독,기능사
류명자,010-2099-7562,굴착기운전기능사,1940-02-19,충북 청주시험장,2026-08-19 14:04:00,접수완료,본인단독,기능사
노만복,010-1196-1290,굴착기운전기능사,1942-01-26,부산 부산남부시험장,2026-08-03 21:57:00,접수완료,가족보조,기능사
곽계순,010-3966-4314,한식조리기능사,1965-09-23,경기 수원시험장,2026-08-19 18:28:00,접수완료,가족보조,기능사
노필순,010-4830-7592,굴착기운전기능사,1966-12-16,울산 울산시험장,2026-08-09 12:56:00,접수완료,본인단독,기능사
홍광수,010-1343-8304,전기기능사,1945-07-13,강원 춘천시험장,2026-08-03 21:47:00,결제대기,가족보조,기능사
송경자,010-7043-2984,지게차운전기능사,1964-12-13,전남 순천시험장,2026-08-19 15:26:00,접수완료,가족보조,기능사
민운순,010-7674-3064,전기기능사,1949-06-05,제주 제주시험장,2026-08-18 21:34:00,결제대기,복지관,기능사
유운순,010-7916-4352,지게차운전기능사,1939-10-02,서울 서울1시험장,2026-08-17 10:52:00,취소,복지관,기능사
